,x,y,radius,t,folder,datetime
0_162,20801.42371705868,24426.884544697718,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_160,19760.41922770107,24499.2149761467,16.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_163,19551.321714450234,27212.15333886089,20.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_164,18670.56417107836,24603.81551435519,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_165,19454.562323314578,29327.356343786254,16.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_166,19214.998196085013,28253.236786859154,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_167,18596.72273758673,29138.882215364603,33.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_168,21113.809186728988,32563.949553484264,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_169,20992.112937896432,32564.823676112766,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_170,20653.254007564276,31442.36945452577,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_171,20463.21944943977,32192.285807627275,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_172,20448.034242691647,33312.334151397394,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_173,20378.68100735574,33379.495166608176,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_174,19905.791819952545,33006.85603804877,20.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_175,19543.404895552554,33455.59320019891,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_176,19491.971151270674,33421.08771624797,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_177,19138.848779400607,34150.83445819043,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_178,19079.371348466644,32312.216839194716,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_179,19666.665728797845,40720.97749163876,17.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_180,18914.15005801122,38929.8005689424,15.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_181,18643.025294814295,38847.71343394416,14.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_182,22057.235272346603,19497.346901416477,33.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_183,21619.412525766224,18571.872467220615,20.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_184,21438.061880699126,18651.074074633223,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_186,22830.826262334707,21197.28377578211,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_185,21905.31063188416,22553.82593185921,28.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_186,21794.252379298345,23905.646150829216,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_187,21127.63537759232,21873.3001966667,30.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_189,21885.57107937002,30044.571570238262,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_190,21463.53520158956,28651.851162217048,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_191,21057.54021456404,27949.711020714323,13.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_192,22612.443822987858,32759.010201042336,32.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_193,22552.763346302174,33999.35941343884,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_194,22287.44007453723,32048.52075530534,30.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_195,21116.067757404926,31264.97941162417,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_196,23330.027058271855,35474.144200924326,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_197,22825.7013878118,35541.888302503554,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
